ein,first_name,last_name,department,gender,salary,legacy,old_premium
32-9228786,Dominique,Frowde,Human Resources,M,66246.71,true,1987.4013
53-8629848,Trudy,Corney,Training,F,58503.35,true,1755.1005
17-4237645,Pier,Stoacley,Product Management,F,40981.84,false,0
30-4006838,Bengt,Oliffe,Business Development,M,63994.3,false,0
35-4999495,Glennie,Govett,Human Resources,F,85705.49,false,0
11-7587946,Zulema,Lough,Human Resources,F,63276.95,true,1898.3085
69-3397820,Shannon,Weatherley,Training,M,78965.96,false,0
25-3474940,Bryant,Wallwood,Services,M,68413.28,false,0
84-5849808,Lucille,Torrejon,Marketing,F,63572.65,true,1907.1795
72-1415476,Kenn,Lidyard,Legal,M,72627.89,false,0
92-9250304,Mela,Egell,Business Development,F,53358.11,true,1600.7433
37-2114276,Trish,Ducket,Legal,F,34823.28,false,0
53-8054164,Lilyan,Binham,Business Development,F,83550.22,true,2506.5066
76-7438057,Vladimir,Yeaman,Human Resources,M,78762.51,false,0
34-7585902,Heindrick,Dreamer,Support,M,33216.73,true,996.5019
87-7958674,Linnet,Clem,Services,F,49112.14,true,1473.3642
25-4581045,Corene,Oxburgh,Services,F,76761.56,true,2302.8468
47-3596777,Kayne,Treher,Sales,M,88544.8,false,0
84-6597789,Jorrie,Windrass,Engineering,F,93681.71,false,0
98-7096699,Shaughn,Van De Cappelle,Accounting,M,106060.45,false,0
58-7754126,Hatty,Campkin,Sales,F,78322.43,false,0
33-3260483,Helene,Oakenfall,Services,F,63841.16,true,1915.2348
78-8201650,Kacie,Matus,Services,F,99541.77,false,0
39-8036624,Dillon,Tomasoni,Human Resources,M,99659.33,false,0
40-2763195,Dmitri,Laffin,Accounting,M,36520.58,true,1095.6174
37-1216427,Ilario,Thews,Training,M,101266.45,true,3037.9935
58-6603555,Hillary,Divell,Business Development,M,84325.04,true,2529.7512
78-7439337,Skye,Drayn,Human Resources,M,81220.35,false,0
77-4891139,Yankee,Janssen,Support,M,60456.7,false,0
04-7157949,Giuseppe,Vaines,Research and Development,M,67017.25,false,0
52-0916882,Myranda,Faucherand,Business Development,F,90907.2,false,0
00-1093186,Lenci,Batalle,Human Resources,M,80635.58,true,2419.0674
62-6842706,Analise,Aynsley,Legal,F,47568.82,true,1427.0646
97-5069556,Gwynne,Coon,Support,F,83484.46,false,0
29-2987428,Fidole,Whetson,Legal,M,79138.15,false,0
00-9486272,Ilene,Deavall,Product Management,F,103893.48,true,3116.8044
54-4702952,Madelon,Gwyllt,Marketing,F,39484.73,false,0
33-7026935,Lloyd,Testo,Research and Development,M,49350.84,true,1480.5252
26-7545157,Francine,Biaggioli,Engineering,F,84503.51,true,2535.1053
42-7103799,Liz,Teresse,Sales,F,90338.24,true,2710.1472
60-1331267,Demetri,Alfuso,Sales,M,26692.63,false,0
82-2373056,Kirby,Messier,Legal,M,47175.56,true,1415.2668
04-0864844,Gordie,Rydeard,Training,M,87394.06,false,0
56-6993449,Manolo,Kentwell,Sales,M,65135.83,false,0
09-9424310,Ring,Hourican,Business Development,M,59346.22,true,1780.3866
75-6440900,Rafferty,De Marchi,Human Resources,M,89389.28,true,2681.6784
18-4415972,Vidovik,Lifton,Sales,M,71126.43,true,2133.7929
89-3501146,Netta,Bridges,Services,F,109156.72,false,0
58-3082687,Adria,Palombi,Product Management,F,68470.09,false,0
19-3472918,Alanson,Matterdace,Human Resources,M,97308.57,false,0
69-6814223,Marguerite,Gobell,Marketing,F,87928.08,true,2637.8424
14-0830262,Reed,Tree,Human Resources,M,73544.67,false,0
96-7421185,Dulsea,Warkup,Business Development,F,43382.88,true,1301.4864
57-7338163,Annadiane,MacPhail,Training,F,83473.59,false,0
71-3508740,Rodrick,Georgel,Human Resources,M,100986.93,false,0
06-6785355,Merci,Roblin,Business Development,F,60127.69,false,0
30-6653388,Florenza,Gowdie,Services,F,59413.33,false,0
58-0795823,Roxine,Collingwood,Support,F,63473.22,true,1904.1966
81-4657931,Clyve,Hunt,Services,M,19664.05,true,589.9215
39-0338630,Randy,Tingcomb,Legal,M,71079.04,true,2132.3712
06-9690335,Hyatt,Myring,Business Development,M,69017.06,false,0
43-8245539,Gare,Dewsnap,Legal,M,62304.94,true,1869.1482
41-0940526,Jacquenette,Williscroft,Sales,F,62237.85,true,1867.1355
18-9081890,Benyamin,Andreacci,Research and Development,M,58642.69,true,1759.2807
18-7877891,Lurlene,McParlin,Sales,F,84010.32,true,2520.3096
57-4184504,Colman,D'Arrigo,Training,M,63629.9,false,0
30-1964088,Huntley,Espinos,Sales,M,69322.67,false,0
83-7643037,Marmaduke,Tonry,Engineering,M,62496.79,false,0
58-8737421,Lane,Huggill,Support,F,68320.5,true,2049.615
09-9364421,Inna,Duckett,Research and Development,F,56109.88,false,0
67-2354540,Garvin,Faull,Business Development,M,33042.34,true,991.2702
26-2726993,Harmonie,Ceci,Legal,F,89563.1,false,0
65-5345722,Roley,Hindmoor,Sales,M,77203.26,true,2316.0978
30-0526157,Curtice,Kose,Support,M,52746.92,false,0
15-6058894,Tonie,Gladyer,Support,F,40686.17,false,0
65-0147865,Katha,Martynov,Support,F,95936.29,true,2878.0887
99-9592747,Ambrose,Gloucester,Engineering,M,89914.29,true,2697.4287
58-3807486,Zed,Boakes,Services,M,75930.25,false,0
32-3501776,Arlinda,Metschke,Business Development,F,83141.16,false,0
87-7223817,Holly,Doumer,Research and Development,M,68072.4,false,0
12-7045788,Alanna,Mapother,Sales,F,58158.22,false,0
77-7427791,Ken,Buche,Product Management,M,108785.76,true,3263.5728
40-0103619,Gleda,Bilbrooke,Sales,F,69618.95,true,2088.5685
29-1388885,Noe,Roskeilly,Accounting,M,83729.0,true,2511.87
83-8935024,Adella,Bairstow,Marketing,F,66596.96,false,0
19-4507123,Cathyleen,Kinch,Sales,F,101110.02,false,0
40-7903680,Evie,Klimpt,Human Resources,F,70204.93,true,2106.1479
90-3253953,Angele,Ivashnyov,Training,F,84222.24,false,0
49-3420974,Dicky,Gallemore,Services,M,70227.63,true,2106.8289
71-4827307,Bendick,Wagg,Support,M,93680.09,true,2810.4027
75-5102154,Paloma,Greydon,Research and Development,F,49411.48,true,1482.3444
05-4291464,Fredi,Murrum,Research and Development,F,78732.73,false,0
30-8425265,Karlens,Rickarsey,Marketing,M,75766.47,false,0
40-2386263,Torrin,Beedell,Engineering,M,52866.79,true,1586.0037
02-3203600,Honor,Atkins,Human Resources,F,54825.04,true,1644.7512
71-9229536,Scarlet,Delves,Human Resources,F,35082.73,true,1052.4819
70-1318322,George,Graeme,Product Management,M,93788.02,true,2813.6406
62-7970776,Georas,Dronsfield,Research and Development,M,45554.85,false,0
59-0492705,Alice,Schaumaker,Support,F,53572.56,false,0
25-7648377,Evyn,Normington,Engineering,M,61171.04,false,0
45-1035226,Tessi,Ancketill,Services,F,44804.99,false,0
13-2034149,Kile,Bonniface,Legal,M,51485.94,true,1544.5782
49-4004459,Olwen,Peachey,Services,F,96941.91,false,0
18-2973532,Matteo,Spensly,Marketing,M,46569.11,false,0
40-2109339,Lishe,Slyman,Research and Development,F,61171.72,false,0
05-6904212,Gallard,Lewer,Product Management,M,75058.14,true,2251.7442
45-1948729,Moses,Aggis,Marketing,M,43327.26,true,1299.8178
11-2546062,Julius,Curton,Support,M,61740.31,true,1852.2093
14-0044690,Tommy,Randalston,Business Development,F,46363.61,true,1390.9083
53-6214920,Mariquilla,Kermannes,Business Development,F,75033.9,false,0
69-4599976,Bobinette,Croy,Support,F,85906.8,false,0
64-2992361,Vidovic,Cubbin,Marketing,M,61491.56,false,0
53-4161464,Pyotr,Tzar,Services,M,18913.48,false,0
15-1306314,Ted,O' Clovan,Legal,F,83056.9,true,2491.707
25-9280232,Wileen,Bras,Legal,F,40172.08,true,1205.1624
88-2996115,Tybie,Guiraud,Engineering,F,113508.59,false,0
58-1647419,Kirstyn,Handover,Training,F,104749.11,false,0
04-9597624,Brannon,Scapelhorn,Legal,M,25129.79,true,753.8937
01-1312475,Wain,Fell,Business Development,M,93954.17,true,2818.6251
90-9619428,Olive,Dunbobbin,Services,F,68974.67,false,0
46-1426341,Marjie,Raddan,Engineering,F,53083.43,false,0
95-9708351,Neilla,Arnould,Business Development,F,61184.4,true,1835.532
33-4825454,Danella,Bealton,Services,F,84342.97,true,2530.2891
89-7828503,Ann-marie,Douris,Training,F,43164.72,false,0
79-1547165,Josi,Gummory,Accounting,F,68250.75,false,0
04-5953238,Dana,Fever,Sales,M,123271.57,false,0
20-4633897,Rowe,Verna,Accounting,F,42123.16,false,0
11-5282106,Fair,Flade,Sales,M,73117.71,false,0
17-2747318,Ewan,Water,Research and Development,M,73634.3,true,2209.029
61-0113141,Gustaf,Rummer,Support,M,105209.79,true,3156.2937
57-1518454,Abraham,Langlois,Business Development,M,81118.6,false,0
56-5286709,Afton,Hartford,Research and Development,F,86259.69,false,0
64-1384600,Codi,Macbane,Product Management,F,76825.91,true,2304.7773
29-4985999,Ginger,Tinsley,Business Development,F,91018.81,false,0
54-9253798,Alisun,Rainard,Services,F,58985.79,false,0
97-1384454,Belita,Petroselli,Research and Development,F,139804.16,true,4194.1248
43-3685013,Laurice,Rillstone,Research and Development,F,73526.65,false,0
60-3864943,Galvan,Cheetam,Training,M,50556.53,true,1516.6959
45-7007393,Aylmer,Klimuk,Engineering,M,74385.68,true,2231.5704
51-5848223,Ginelle,Brignell,Research and Development,F,75207.88,false,0
88-3603636,Alvy,Stickland,Business Development,M,74253.82,false,0
74-6304913,Ransell,Fransman,Human Resources,M,73559.18,true,2206.7754
46-7234317,Graeme,Kershaw,Training,M,61849.13,true,1855.4739
71-3120141,Taryn,Boliver,Support,F,52613.36,false,0
81-3727677,Mortimer,Saunter,Human Resources,M,104100.59,true,3123.0177
98-6664084,Lin,Carah,Business Development,M,81230.52,false,0
94-5524434,Bernardo,Brogi,Accounting,M,56711.94,true,1701.3582
60-6577813,Winny,Draaisma,Business Development,M,75218.13,false,0
18-5045768,Merill,Wilmott,Product Management,M,85398.9,true,2561.967
69-7002966,Kacey,Draysey,Sales,F,68952.03,true,2068.5609
66-3475867,Constance,Abrahmovici,Product Management,F,65713.68,false,0
96-4848364,Aurilia,Etridge,Sales,F,78793.26,true,2363.7978
91-8765027,Kathrine,Sparrow,Services,F,65839.21,false,0
62-1651506,Jorgan,Valett,Engineering,M,93659.89,true,2809.7967
04-2202484,Siobhan,Andersen,Training,F,71762.59,true,2152.8777
56-0518626,Bernita,Tomkys,Human Resources,F,45323.72,true,1359.7116
61-9622812,Sterne,Megany,Training,M,76351.17,true,2290.5351
79-0833954,Heidi,Sallings,Accounting,F,85820.77,false,0
66-1893995,Alejoa,Bambrugh,Support,M,64911.8,true,1947.354
28-2944016,Tanhya,Wysome,Product Management,F,65655.64,false,0
23-6296338,Nate,Puckrin,Marketing,M,40019.59,true,1200.5877
52-7905752,Leonore,Hedley,Training,F,71611.33,true,2148.3399
83-2491508,Emmi,Gooble,Marketing,F,97252.91,true,2917.5873
32-2600256,Artair,Bonnar,Legal,M,73718.65,true,2211.5595
95-0416806,Eugenia,Meadmore,Human Resources,F,57834.84,false,0
55-0210103,Erastus,Sevier,Product Management,M,50094.69,true,1502.8407
60-2524827,Bernhard,Firidolfi,Training,M,84396.33,true,2531.8899
81-5630303,Emilie,Trevenu,Sales,F,54643.65,false,0
29-1399608,Clint,Graben,Legal,M,75225.52,true,2256.7656
00-7621488,Alexandrina,Fenner,Human Resources,F,67653.83,false,0
24-6556818,Sada,Garmans,Accounting,F,82699.52,true,2480.9856
42-1781539,Helena,Garbott,Legal,F,87719.61,false,0
48-4557893,Brook,Houlden,Engineering,F,82497.01,true,2474.9103
31-1154430,Kora,Duffit,Human Resources,F,101185.65,true,3035.5695
85-2333406,Ilise,Lauder,Training,F,68642.2,true,2059.266
25-8012107,Homer,Waud,Engineering,M,75296.0,true,2258.88
25-1777588,Bobbi,Benediktsson,Research and Development,F,75174.65,false,0
45-6722744,Shayne,Isakovitch,Marketing,M,54342.49,true,1630.2747
21-3536740,Idell,Bein,Support,F,67286.95,false,0
16-2789972,Lynnet,Treend,Training,F,14434.02,false,0
10-6738521,Corina,Forcade,Legal,F,86846.52,false,0
32-7292502,Alvina,Carnall,Product Management,F,65777.52,false,0
24-6028047,Shell,Derye-Barrett,Human Resources,M,83850.16,false,0
57-0978632,Lurlene,Galea,Services,F,72912.19,false,0
62-6101319,El,Allenson,Services,M,79196.91,true,2375.9073
23-4926251,Eadmund,Maxworthy,Product Management,M,46292.82,true,1388.7846
79-9535564,Alfons,Lippiello,Legal,M,72799.57,false,0
03-1224269,Mannie,Hargroves,Accounting,M,110338.26,true,3310.1478
21-5579294,Barrett,Newbatt,Support,M,52841.79,true,1585.2537
31-8828099,Freddie,Beadham,Product Management,F,71983.42,false,0
51-9878242,Wilden,Delafont,Marketing,M,107130.21,true,3213.9063
48-2433970,Kylila,Bispham,Engineering,F,56620.23,false,0
12-3766997,Moll,Faherty,Human Resources,F,96497.62,false,0
82-3965281,Nicky,Moyser,Training,M,68018.22,true,2040.5466
94-2233379,Laird,Casely,Support,M,75794.13,false,0
13-4238674,Wait,Gaucher,Legal,M,84709.01,false,0
65-9568359,Ilene,Lunn,Product Management,F,58825.43,false,0
71-4631969,Rhys,Treves,Accounting,M,50915.11,true,1527.4533
79-5846485,Trudy,Addionizio,Training,F,73171.94,false,0
39-0081430,Harcourt,Whitsun,Marketing,M,52502.11,true,1575.0633
79-0604683,Anastassia,Figura,Support,F,73497.7,true,2204.931
25-5892740,Jenine,Wigsell,Legal,F,67247.14,false,0
34-6324759,Keeley,Pedrollo,Human Resources,F,66961.99,false,0
26-5000940,Orion,McKinney,Support,M,73075.93,false,0
30-5266090,Hakim,Karolovsky,Services,M,38742.42,false,0
82-1635978,Francklin,Severns,Research and Development,M,84431.67,false,0
23-6767240,Haskel,Clayal,Legal,M,85200.55,false,0
09-0221027,Tobye,Alloisi,Business Development,F,66346.05,false,0
20-8854142,Cecily,Beekmann,Sales,F,44663.53,false,0
33-0400287,Rochester,Budcock,Business Development,M,73546.57,false,0
10-7162142,Cindee,Currey,Business Development,F,62065.94,true,1861.9782
26-1513572,Marcus,Gladebeck,Services,M,86124.89,true,2583.7467
99-8410173,Roderich,Bessant,Training,M,100119.1,false,0
74-3237627,Damien,McGlashan,Human Resources,M,77024.29,false,0
00-3580851,Renault,Norridge,Business Development,M,26602.52,true,798.0756
08-4177687,Randy,Stanwix,Services,F,61767.37,false,0
04-8729952,Costa,Kenwell,Sales,M,60129.15,true,1803.8745
25-3322005,Aili,Hallihan,Research and Development,F,96341.24,true,2890.2372
02-8496681,Rodger,Delea,Business Development,M,68097.9,false,0
31-6221891,Hernando,Lidgett,Engineering,M,106659.31,false,0
52-0145793,Jarrid,Cotgrave,Marketing,M,76052.09,false,0
78-2168073,Pauly,MacCorley,Accounting,M,68166.31,true,2044.9893
70-6822794,Clarke,Scown,Research and Development,M,67878.63,true,2036.3589
78-1571818,Ernestus,Coatham,Business Development,M,90924.6,true,2727.738
18-9453228,Nan,Downer,Accounting,F,87201.81,false,0
24-8049416,Stanislaus,Queenborough,Business Development,M,29338.58,false,0
97-6742921,Alfreda,Kerley,Engineering,F,125831.39,false,0
25-7535870,Chane,Gilphillan,Marketing,M,79438.5,true,2383.155
73-2122182,Kym,Maundrell,Legal,F,83772.55,false,0
25-4902300,Dorie,Shearman,Engineering,F,48954.69,true,1468.6407
13-8877775,Engelbert,McGreil,Human Resources,M,79096.25,false,0
67-0875918,Wilbert,Attrill,Support,M,30644.13,false,0
69-2419361,Tom,Pendreigh,Training,M,114542.91,false,0
70-4236598,Alyda,Forty,Business Development,F,86302.16,false,0
05-2049956,Honor,Dayes,Legal,F,113913.8,false,0
81-5339912,Florian,Thirtle,Accounting,M,61943.05,true,1858.2915
43-3795471,Laurel,Badham,Training,F,76534.52,false,0
77-3134203,Emmott,Kitchenside,Support,M,72602.17,false,0
03-5376235,Marsha,Crumbleholme,Support,F,72721.0,true,2181.63
04-8755831,Nobe,Seedull,Training,M,33570.33,false,0
39-7878905,Rosemarie,Grieg,Training,F,64956.18,false,0
64-9581042,Sephira,Skirlin,Accounting,F,75633.05,false,0
84-1691343,Idalia,Baden,Services,F,51535.84,true,1546.0752
79-2700596,Lloyd,Kepling,Legal,M,118317.42,true,3549.5226
19-9689329,Sayer,Ferrai,Marketing,M,72538.04,false,0
80-3521255,Duke,Miquelet,Support,M,68143.75,true,2044.3125
11-4999271,Humberto,Olivo,Product Management,M,37225.39,true,1116.7617
70-4049262,Adrienne,Hughson,Human Resources,F,83111.32,false,0
54-6276176,Jehu,Olphert,Support,M,85912.88,false,0
71-7812407,Molli,Doorey,Accounting,F,51281.27,true,1538.4381
75-0607659,Jessica,Willatt,Human Resources,F,80600.05,false,0
27-8212825,Martie,Petrello,Training,M,68935.04,true,2068.0512
02-5280772,Ania,Popeley,Accounting,F,37498.9,true,1124.967
55-4448237,Neel,Rackley,Training,M,72621.45,false,0
09-3017509,Donnie,Wraight,Support,M,52596.67,false,0
68-6692551,Langsdon,Keatch,Support,M,46709.15,true,1401.2745
72-0374838,Loutitia,Jeromson,Services,F,59205.69,true,1776.1707
89-9509300,Currey,Bunney,Product Management,M,51041.18,true,1531.2354
49-0881348,Rhona,Thunnercliffe,Human Resources,F,62996.6,false,0
23-9265396,Meryl,Willeson,Business Development,M,78795.57,false,0
53-8264437,Gerta,Skidmore,Product Management,F,54105.29,true,1623.1587
08-1301795,Aleta,Simmonite,Sales,F,72946.43,false,0
79-1018870,Jasmina,Backler,Engineering,F,104108.14,false,0
03-9744285,Rodrigo,Raine,Engineering,M,113203.54,false,0
78-5537136,Georg,Gammack,Accounting,M,2194.93,true,65.8479
28-8253777,Eberhard,Caddock,Engineering,M,63062.08,false,0
68-7433067,Roxie,Guerrieri,Business Development,F,84589.18,true,2537.6754
31-9002452,Pincas,Matten,Training,M,98829.85,true,2964.8955
84-2047449,Ramona,Finlry,Training,F,68683.52,false,0
15-0946976,Homere,Gladdolph,Research and Development,M,88473.64,false,0
74-8044998,Toiboid,Etherson,Accounting,M,68450.64,false,0
84-6821008,Yulma,Grzelak,Services,M,59230.72,true,1776.9216
60-1286767,Manon,Houlahan,Research and Development,F,70523.0,true,2115.69
99-9040391,Errick,Cains,Engineering,M,69006.01,true,2070.1803
02-4133917,Shanta,Marquiss,Training,F,87180.48,false,0
65-2156180,Ephraim,Nother,Support,M,80954.29,true,2428.6287
51-4341500,Erminia,Rosettini,Sales,F,54908.98,true,1647.2694
18-1121362,Marabel,Hugonet,Services,F,58807.7,false,0
16-2858594,Zebulon,Steer,Product Management,M,78049.14,false,0
34-2355835,Magnum,Phittiplace,Support,M,81178.51,true,2435.3553
96-3334660,Lucille,Mallindine,Support,F,94515.62,false,0
40-6228997,Phillip,Petrasek,Sales,M,59604.89,true,1788.1467
08-5445968,Russell,Dunham,Services,M,73695.59,false,0
85-8035981,Avrit,Harrower,Accounting,F,74374.82,true,2231.2446
22-4455543,Lavena,Broun,Services,F,49752.21,true,1492.5663
46-0577158,Guglielma,Spreag,Legal,F,23761.9,false,0
67-6348560,Edvard,McCalister,Research and Development,M,80435.03,false,0
03-3536945,Frederique,Grindley,Training,F,45131.57,false,0
72-2080434,Esme,Wynne,Product Management,M,47017.96,true,1410.5388
85-6381244,Lolly,Greeveson,Human Resources,F,67316.35,false,0
08-4890304,Rosita,Checchi,Engineering,F,60030.72,false,0
37-8550418,Petey,Buttner,Research and Development,M,64029.21,true,1920.8763
24-8462067,Ladonna,Giovannazzi,Support,F,88971.44,true,2669.1432
76-9260867,Jsandye,Mullins,Services,F,87328.89,true,2619.8667
88-9234731,Rena,Laxtonne,Research and Development,F,70116.98,false,0
00-2734559,Ilise,Ropking,Marketing,F,103620.73,true,3108.6219
88-6853028,Clarey,Danilchik,Business Development,F,83939.95,false,0
32-4608472,Glynis,Earlam,Human Resources,F,113470.82,true,3404.1246
65-3230117,Levon,Conibere,Legal,M,57028.78,false,0
75-9549253,Whit,Tice,Accounting,M,46451.35,false,0
98-3666425,Arlana,Grunwald,Research and Development,F,103946.03,false,0
14-3654616,Mario,Levene,Accounting,M,39607.23,false,0
24-5991283,Edmon,Meni,Engineering,M,59819.5,false,0
10-5416485,Babs,Brendish,Marketing,F,93910.17,false,0
57-0012497,Faythe,Carlo,Human Resources,F,62315.72,false,0
62-5538791,Binny,Gopsell,Legal,F,58415.27,true,1752.4581
34-7376950,Karlen,Zecchii,Engineering,F,85018.95,true,2550.5685
69-3233643,Westbrook,Johann,Research and Development,M,54665.35,false,0
76-9049036,Laurence,Bustard,Services,M,47836.86,false,0
51-6375888,Garrek,Joye,Legal,M,53053.73,false,0
95-1424696,Nesta,Davids,Support,F,68595.93,false,0
05-4829533,Carmela,Fer,Engineering,F,98781.43,true,2963.4429
35-6862377,Donalt,Rainton,Marketing,M,48618.33,true,1458.5499
72-6492326,Uri,Dosdill,Services,M,62238.31,false,0
70-1941904,Roman,Ferryn,Research and Development,M,98668.77,true,2960.0631
02-8482340,Petra,Goodread,Training,F,44619.74,true,1338.5922
04-8368005,Julius,Sugar,Marketing,M,54613.28,false,0
12-8922524,Ulla,Holde,Engineering,F,60911.72,false,0
39-4324466,Yoshi,Insall,Training,F,59952.05,false,0
23-7113180,Cullen,Adlem,Services,M,35728.97,false,0
84-3074600,Gregoor,Conkie,Engineering,M,61650.59,true,1849.5177
74-2055552,Berty,Guerrero,Sales,F,47659.89,true,1429.7967
11-1483284,Moses,Galsworthy,Marketing,M,54330.71,false,0
21-1150010,Alva,Moynham,Research and Development,M,74876.64,false,0
15-7775210,Brittan,Kubanek,Research and Development,F,92329.3,true,2769.879
18-3901452,Luther,Oldacres,Engineering,M,59858.85,false,0
28-2452533,Leif,Tedman,Engineering,M,57103.55,true,1713.1065
40-3913829,Nico,Morant,Marketing,M,65012.77,false,0
50-9185653,Karita,Dunderdale,Training,F,74309.0,false,0
61-7219205,Lyndel,Longfut,Research and Development,F,55672.87,false,0
27-3496995,Maurits,Peller,Product Management,M,109936.2,true,3298.086
04-5406422,Del,Downey,Research and Development,F,59742.63,true,1792.2789
69-3368273,Daisy,Habben,Marketing,F,75552.08,false,0
79-8615432,Hadlee,Gurley,Business Development,M,84681.08,false,0
80-5003260,Jaymie,Jeppensen,Product Management,M,45058.77,true,1351.7631
46-7691269,Yorgo,De Lasci,Legal,M,64050.64,true,1921.5192
97-4557241,Fleur,Aveline,Support,F,61779.4,false,0
